Scenario,Source,mAP50-95_mean,mAP50-95_var,mAP50_mean,mAP50_var,mAP75_mean,mAP75_var,Precision_mean,Precision_var,Recall_mean,Recall_var,F1_mean,F1_var,Inference Time (ms)_mean,Inference Time (ms)_var,Preprocessing Time (ms)_mean,Preprocessing Time (ms)_var,Postprocessing Time (ms)_mean,Postprocessing Time (ms)_var,Total Time (ms)_mean,Total Time (ms)_var,FPS_mean,FPS_var
Baseline,TestSet::dataset::datamatrix140,0.306632195504522,,0.7715438463162451,,0.1917217353819784,,0.8429510591672754,,0.7786774628879892,,0.8095405121010172,,26.42195589950908,,0.6999045302617853,,6.917081781173661,,34.038942210944526,,29.37811621180374,
Baseline,TestSet::dataset::datamatrixfit,0.3462445288254772,0.0008563416786329823,0.7134611905005861,0.003485017668067183,0.2629808441797343,0.0018509780630142233,0.8084124830393487,0.0002436994747491132,0.6619047619047619,0.0012414965986394548,0.764846715328467,0.0035682224945388706,18.66261706097064,25.320153973348898,2.1806797590958915,0.01342214268594409,2.550619109564163,0.8315290449008421,23.39391592963069,30.78227534946985,44.20413967076408,85.03509742283788
Baseline,TestSet::dataset::dmcode,0.6135014344017614,,0.9071000121712938,,0.6815460255838669,,0.9469231187427156,,0.8190255220417634,,0.8783428733433001,,20.47173924924736,,0.6828303486935655,,2.42846561856916,,23.583035216510083,,42.403362875865824,
Baseline,TestSet::dataset::implementacao,0.5639206102668982,,0.9128284153005464,,0.5977357546288109,,0.989140628723962,,0.8309859154929577,,0.9031920703789278,,22.8423206647858,,2.302987719886005,,2.392817777581513,,27.53812616225332,,36.31329140218357,
Baseline,TestSet::dataset::pcbdataset,0.5065516597161536,5.827786780178864e-05,0.8219023802670652,0.00041213624352209996,0.5793033059928953,0.0007248388347732299,0.8636254194053831,0.0025951709253257543,0.7526881720430106,0.0003468609087755804,0.8035269363802865,0.00024556300715117697,15.605449454031055,32.92479178138051,1.306348653613693,0.020730894579124186,0.8569373205925029,1.6448515967251764,17.768735428237253,51.28312601333638,61.70209244471588,407.59806600243377
Baseline,TestSet::dataset::qrv2,0.6825037441807712,,0.9674556238007832,,0.7964814970254988,,0.9801660516605166,,0.9386042402826856,,0.9589350180505416,,20.14070975674372,,0.5482988089117661,,2.2243625713584936,,22.913371137013986,,43.64263966311845,
Baseline,TestSet::dataset::real2dcodes,0.6358572924911923,,0.96915421736414,,0.8594326633012206,,0.9906588750526611,,0.9319526627218936,,0.960409482950542,,20.243736815297257,,0.8083507681388092,,2.249863128642023,,23.30195071207809,,42.914862036922536,
Baseline,TestSet::dataset::recntagledmtest,0.3066032615604838,,0.9173929002337542,,0.0719072719585059,,0.8111415959228429,,0.9395973154362416,,0.8706569106596526,,20.400128993218377,,0.6474445522737527,,2.273305371763063,,23.3208789172552,,42.88003053178655,
Baseline,TestSet::global::global,0.3791200709912241,0.0008849827812879123,0.8285970624001577,0.0005888017369245972,0.2903080291954971,0.0015658629537038794,0.8619250724545425,0.0002720410062073447,0.8208129398257945,0.00029238683850603625,0.8408610910442063,0.0002760859917344587,12.126499532583964,47.25876002534969,0.31089388228122045,0.038760588469718686,0.8443622988417756,1.4737761911511749,13.281755713706959,68.64728001391578,93.03663217116527,1820.7115565004085
PCBE1,TestSet::dataset::datamatrix140,0.3558645359449176,7.448491741376663e-05,0.818746399872605,0.00020668764373547063,0.2535372583802241,9.173293638999437e-05,0.8668704463512972,1.269095286418772e-05,0.8418976435170767,0.0006265498664476387,0.8541314705438167,0.0002135890415036202,15.901039092470024,15.10336192651773,0.3829244240108183,0.01618172246334821,6.327693647373531,1.5493627607672948,22.611657163854375,6.322021262115015,44.50009617786843,24.485730612773096
PCBE1,TestSet::dataset::datamatrixfit,0.33568512177838405,0.0006931472180694915,0.7689031515260423,3.051079781655491e-05,0.20721285275330412,0.003837787614487849,0.8000098635037469,0.0005869005009617646,0.7261904761904763,0.0004251700680272125,0.7608786731950768,1.823514390033907e-07,15.851423436520149,0.6391795596119582,2.267610610407942,0.07250844432578235,2.945594136524045,0.7997930951933065,21.064628183452133,0.003330266444566645,47.47318595697021,0.01696404984035124
PCBE1,TestSet::dataset::dmcode,0.549612172351686,0.005605974723846271,0.7969739059070351,0.016732653244556816,0.667908369589642,0.004316529828438308,0.8930193105505155,0.00012024781725358503,0.7354988399071927,0.0258504207018696,0.8023650822589745,0.010326340963921045,8.543868564400022,0.0004345574571241156,0.3855420770471759,5.2667209276331005e-06,0.9539469948177722,0.34165181109665665,9.883357636264968,0.31513505775643585,101.34366576467175,33.134537781068154
PCBE1,TestSet::dataset::implementacao,0.7100223982931877,0.00017981240589815006,0.9154234265734265,9.887326544085425e-05,0.8052136631017819,2.097120320171009e-06,1.0,0.0,0.8309859154929577,0.00039674667724657703,0.9076276702763477,0.00014121624931903782,16.037513902410865,0.4654455674265503,2.2300011850893497,0.07636268948652608,1.0914940014481544,0.012419938066005748,19.359009088948373,0.7176274329944711,51.70503994193331,5.119158079210229
PCBE1,TestSet::dataset::pcbdataset,0.5020795493647459,0.0006587711347710342,0.8075206602003928,0.0011782799235917718,0.6285937804518505,0.0027111574688991756,0.7804544145020073,0.0026465117719926524,0.7311827956989246,0.0013874436351023216,0.7549785515188696,0.0019189684176181962,12.810827688210543,0.19864654165747797,1.1850164685812261,0.0036611367026334225,0.11588704461852706,0.0003785928087966016,14.111731201410294,0.17905227496152504,70.90598401131884,4.618463029257461
PCBE1,TestSet::dataset::qrv2,0.6876401103282898,3.9616974627966986e-07,0.9728356930814093,2.4135650302349407e-05,0.7751745560209371,1.1318998322536074e-08,0.9708465024876924,4.1213383797060173e-07,0.9487632508833923,0.00012642185568555162,0.9596628350943615,3.679277169153126e-05,8.188905915957577,7.039135037779574e-05,0.22032009379237766,2.119858610828371e-05,0.14639055879860915,0.00022039919653486713,8.555616568548565,3.4287937397365307e-06,116.88228608763211,0.0006399353919826944
PCBE1,TestSet::dataset::real2dcodes,0.5657502659512545,0.0013129066682517243,0.9568745336708598,2.780356852165112e-05,0.5686364821908078,0.017424973886940146,0.9808745892456111,2.029521447765508e-05,0.9063303935098808,9.583119947821454e-05,0.94212571944928,5.427410625955735e-05,8.732937349351037,0.08872744876159944,0.49360853190706067,0.0020768822987950112,0.5685193916683473,0.08819313274377705,9.795065272926443,0.002159560208703306,102.09337320566746,0.23460958674001395
PCBE1,TestSet::dataset::recntagledmtest,0.37704812003118393,0.0026698277545267493,0.9622632320734539,1.8176239247413994e-05,0.1492690663763196,0.005070189336395804,0.8683161775937185,0.0006036483269276629,0.965771812080537,0.0007576235304716056,0.9140871200827645,1.6523737577340265e-06,8.293708819268353,0.0008752274991110075,0.29551509499509376,1.3871210574373087e-05,0.28588616481536755,0.0005492179598107799,8.875110079078814,0.0024300203322337134,112.67639686548739,0.39167721872169287
PCBE1,TestSet::global::global,0.3943121290360876,0.00032644757244510716,0.8413851006512351,0.00027182698234347796,0.3057109076622597,0.0006574330739969249,0.8666065176693042,7.57857691178123e-05,0.8318875433021272,0.0013171791760036827,0.8487334172922854,0.0005304674395472905,8.169202195951376,0.0001358123548413007,0.1979671429164839,1.9513579021598015e-07,0.1372382683670463,1.7872481046177096e-05,8.504407607234908,9.863814987698025e-05,117.58619233760679,0.01883232114117312
PCBE2,TestSet::dataset::datamatrix140,0.3249238483546169,,0.7883673433977545,,0.2082730650172135,,0.8425707547169812,,0.8158932835046195,,0.8290174568851855,,15.983377949539888,,0.4798246484439252,,6.052549420145608,,22.51575201812942,,44.41335111502435,
PCBE2,TestSet::dataset::datamatrixfit,0.3130940145076158,0.0005761762542428446,0.7572149017990824,0.004760501027200612,0.17756947527755154,0.0008002103698353667,0.7913619367205241,0.00247407650445921,0.730952380952381,0.00027210884353741566,0.7726489154408437,0.001221953365914495,16.105893195844164,0.01960821891247343,2.0689406109596393,0.0050893718171285095,2.4287130841924474,0.1795433229038919,20.603546890996252,0.14501881957869908,48.54635894238485,0.8008580564434739
PCBE2,TestSet::dataset::dmcode,0.4953670922846632,,0.7790922926671087,,0.5577270758609251,,0.9088564841083556,,0.6890951276102089,,0.7838642550914949,,8.360290856353034,,0.3883018045224876,,0.6098364780126053,,9.358429138888129,,106.85554008680668,
PCBE2,TestSet::dataset::implementacao,0.6824063054669249,,0.9083923076923076,,0.7832004988306711,,1.0,,0.8169014084507042,,0.8992248062015504,,15.552197620272636,,2.2219213098287582,,1.4478923380374908,,19.222011268138885,,52.02369232076837,
PCBE2,TestSet::dataset::pcbdataset,0.5131859074056228,0.00010948301731556783,0.839399291930186,0.0014489926872549353,0.5983353177958958,0.0018632184147975733,0.9269315850861083,0.0013827013273257304,0.7204301075268816,0.006590357266736038,0.8078118590025841,0.001516882054915409,10.326323202914663,2.96462476180241,1.1410104628238413,0.0016401196446439422,0.4803179349336359,0.40280616237376143,11.94765160067214,4.016543461995313,85.47341980056262,251.93427584298917
PCBE2,TestSet::dataset::qrv2,0.6731556667632883,,0.9826912609078192,,0.7490734595843139,,0.983385720700494,,0.9673144876325088,,0.9752839011356044,,8.15455215147783,,0.2257681636666567,,0.1628477370983439,,8.543168052242832,,117.05259616629812,
PCBE2,TestSet::dataset::real2dcodes,0.55212539299481,,0.9527111525539343,,0.5892381029055428,,0.978190092914632,,0.8816568047337278,,0.9274182222545088,,8.752065074270982,,0.521536043561925,,0.5241029174723969,,9.797704035305305,,102.06472826659936,
PCBE2,TestSet::dataset::recntagledmtest,0.3178293291873002,,0.9258877125784614,,0.0945516960815775,,0.817017439291837,,0.9529333360205844,,0.8797568439426662,,8.354774091655957,,0.2995102296826308,,0.2861821748134072,,8.940466496151993,,111.85098679474984,
PCBE2,TestSet::global::global,0.3793716213783085,0.0007037919719589504,0.833429702956311,0.0005865760601818391,0.2837098130057873,0.0014928016630830613,0.8591773854161534,0.0002718199015793162,0.8325279816161318,0.0008937573234451887,0.8456014765665271,0.0005434570005933697,8.148669286506571,0.0002552951141862459,0.19648550558181388,1.3246109218796927e-06,0.14355994113113565,8.869757214133917e-05,8.48871473321952,0.0005535556023292034,117.80406818599435,0.10693700621937444
PCBE3,TestSet::dataset::datamatrixfit,0.2989124013104287,0.0017929629635107054,0.7361800979676132,0.005159730403146088,0.13033280903949424,0.00100624133817642,0.809375348111684,0.003855352612524801,0.6857142857142856,5.102040816326494e-05,0.7415108263241758,0.0005567082475250858,17.200840070989788,1.7788779605696914,2.087048954920831,0.00013921538871447222,1.8669605815137915,0.11063612474902938,21.15484960742441,1.2614892028067979,47.35725523011874,6.011514219160188
PCBE3,TestSet::dataset::pcbdataset,0.487385590587412,0.0003821332242198108,0.8154759424327166,0.0036544705432157683,0.5711702047209184,0.0014254135216109677,0.8466566005472967,0.009499961323004414,0.7204301075268816,0.0024280263614290705,0.7779083997045858,0.0046832825319360226,10.28551421024733,2.796236079498795,1.1982237092322774,0.0006781516675232896,0.8615522748894161,1.3393018425617713,12.345290194369023,4.494040586647653,82.77535476375853,240.55822702950064
PCBE3,TestSet::global::global,0.39331368583584264,0.0028554951698557297,0.8333457728854968,0.0010221826040150259,0.31832442010210465,0.006783715995775008,0.8490568457015956,0.0006197243640774487,0.840805634286696,0.0014094388211920218,0.844878076183179,0.000976515901117696,8.16632955059133,0.0004831333351549082,0.1972282160637411,8.670250262623357e-07,0.13358999402134789,6.314806952236112e-06,8.49714776067642,0.00043509598135632415,117.68702202307065,0.08338897634571467
PCBE4,TestSet::dataset::datamatrixfit,0.37210829580192956,0.0012276816438950918,0.8111357798371593,0.0035822706057320438,0.24828535221284712,0.004581848975216714,0.8929558135817249,0.001864117938867391,0.7399280828447495,0.001681681110397252,0.786716195252183,0.0036829166654377813,15.776506984253336,2.346153190877131,2.0993233968814216,0.0009733004265020712,2.1553385783644283,0.2111239850354422,20.031168959499187,3.8764695489317877,50.26003038268285,26.619528865570278
PCBE4,TestSet::dataset::pcbdataset,0.5270230708791394,0.00011899247048660229,0.8692879837186093,0.00022481803364040958,0.6116541410505388,0.00012381351665352084,0.8975042616819229,0.005167115401566903,0.8064516129032259,0.0041623309053069706,0.8459515839398977,0.00011788438197002637,11.21502738032076,3.952429337188972,1.1738079600036144,0.00030566299846536947,0.640245040671693,0.7329884612606432,13.029080380996069,1.2753402723920555,77.15813455156274,49.5493650393726
PCBE4,TestSet::global::global,0.37387094995154085,0.0016493172512583739,0.7980528160942589,0.0032407157061999483,0.2936039573649958,0.0026771158995541294,0.8618667118224227,0.00030929745446697484,0.7664261788198918,0.01377748481406119,0.8081898466500553,0.004689435219323931,8.174412569702993,9.025381661392303e-05,0.1966526185202858,1.9019252619194523e-07,0.13577095562841096,3.87219200571375e-06,8.506836143851688,9.10904574926162e-05,117.55261564624408,0.017411563918012997
