conf,precision,recall,model
0.05,0.9203452215116676,0.9254775356470272,baseline
0.1,0.9203452215116676,0.9254775356470272,baseline
0.15,0.9203452215116676,0.9254775356470272,baseline
0.2,0.9203452215116676,0.9254775356470272,baseline
0.25,0.9203452215116676,0.9254775356470272,baseline
0.3,0.9203452215116676,0.9254775356470272,baseline
0.35,0.9191568836712913,0.9268227064837234,baseline
0.4,0.9256153638084934,0.9206349206349206,baseline
0.45,0.931661614769909,0.9096045197740112,baseline
0.5,0.9375699888017918,0.9009954264191552,baseline
0.55,0.9411095305832148,0.8899650255582459,baseline
0.6,0.9467403958090803,0.8751681463545871,baseline
0.65,0.9497323022010707,0.8590260963142319,baseline
0.7,0.9546012269938651,0.8372343287597525,baseline
0.75,0.9594594594594594,0.8022598870056498,baseline
0.8,0.9734099892202659,0.7288135593220338,baseline
0.85,0.9750692520775623,0.47350013451708367,baseline
0.9,0.9801980198019802,0.1864406779661017,baseline
0.95,1.0,0.0021522733387140166,baseline
,,,